title,author,normalizedTitle,normalizedAuthor,occurrenceCount,statesCount,districtsCount,topBanStatus,topOrigin,sampleChallenges
"Spy x Family, Vol. 3","Endo, Tatsuya",spy x family vol 3,endo tatsuya,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
"Spy x Family, Vol. 4","Endo, Tatsuya",spy x family vol 4,endo tatsuya,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
"Spy x Family, Vol. 5","Endo, Tatsuya",spy x family vol 5,endo tatsuya,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
"Spy x Family, Vol. 6","Endo, Tatsuya",spy x family vol 6,endo tatsuya,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Stained,"Jacobson, Jennifer Richard",stained,jacobson jennifer richard,1,1,1,Banned in Libraries and Classrooms,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
"Stamped (For Kids): Racism, Antiracism, and You","Reynolds, Jason",stamped for kids racism antiracism and you,reynolds jason,1,1,1,Banned in Libraries,Informal Challenge,"[{""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Stella Brings the Family,"Schiffer, Miriam B.",stella brings the family,schiffer miriam b,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Stiegliz on Photography: His Selected Essays and Notes,"Stieglitz, Alfred",stiegliz on photography his selected essays and notes,stieglitz alfred,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Stolen,"Christopher, Lucy",stolen,christopher lucy,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Stormbreaker,"Horowitz, Anthony",stormbreaker,horowitz anthony,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Storytelling in Christian Art from Biotto to Donatello,"Lubbock, Jules",storytelling in christian art from biotto to donatello,lubbock jules,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Strange the Dreamer,"Taylor, Laini",strange the dreamer,taylor laini,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Striving for Equality: LGBTQ Athletes Claim the Field,"Cronn-Mills, Kirstin",striving for equality lgbtq athletes claim the field,cronnmills kirstin,1,1,1,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"Sumomomo, Momomo: The Strongest Bride on Earth, Vol. 1","Ohtaka, Shinobu",sumomomo momomo the strongest bride on earth vol 1,ohtaka shinobu,1,1,1,Banned in Libraries and Classrooms,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Rockwood School District"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Super Sisters,"Cazenove, Christopher",super sisters,cazenove christopher,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
