title,author,occurrenceCount,statesCount,districtsCount,topBanStatus,matchedSlug,matchType,status,existingCompleteness,notes
Those That Wake,"Karp, Jesse",1,1,1,Banned in Libraries,,missing,missing,,
Timescape,"Liparulo, Robert",1,1,1,Banned Pending Investigation,,missing,missing,,
To Kill a Mockingbird,"Lee, Harper",1,1,1,Banned Pending Investigation,,missing,missing,,
Too Bright to See,"Lukoff, Kyle",1,1,1,Banned in Libraries,,missing,missing,,
Toulouse-Lautrec: At the Moulin Rouge,"Zeri, Federico",1,1,1,Banned Pending Investigation,,missing,missing,,
"Trans Bodies, Trans Selves: A Resource By and for Transgender Communities","Erickson-Schroth, Laura",1,1,1,Banned Pending Investigation,,missing,missing,,
"Transgender Lives: Complex Stories, Complex Voice","Cronn-Mills, Kirstin",1,1,1,Banned Pending Investigation,,missing,missing,,
"Troublemaker for Justice: The Story of Bayard Rustin, the Man Behind the March on Washington","Houtman, Jacqueline",1,1,1,Banned in Libraries,,missing,missing,,
ttfn,"Myracle, Lauren",1,1,1,Banned in Libraries,,missing,missing,,
Turtles All the Way Down,"Green, John",1,1,1,Banned in Libraries,,missing,missing,,
Ugly Love,"Hoover, Colleen",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Ultimate Magic,"Barron, T.A.",1,1,1,Banned in Libraries,,missing,missing,,
Unbecoming: A Memoir of Disobedience,"Bhagwati, Anuradha",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Verity,"Hoover, Colleen",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Vermeer: The Astronomer,"Zeri, Federico",1,1,1,Banned Pending Investigation,,missing,missing,,
Victoria and the Rogue,"Cabot, Meg",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Violet and Daisy: The Story of Vaudeville's Famous Conjoined Twins,"Miller, Sarah",1,1,1,Banned Pending Investigation,,missing,missing,,
Walk Two Moons,"Creech, Sharon",1,1,1,Banned in Libraries,,missing,missing,,
War Storm,"Aveyard, Victoria",1,1,1,Banned in Libraries,,missing,missing,,
Watch Over Me,"LaCour, Nina",1,1,1,Banned in Libraries,,missing,missing,,
Watcher in the Woods: A Rockton Novel,"Armstrong, Kelley",1,1,1,Banned Pending Investigation,,missing,missing,,
Wayward Son,"Rowell, Rainbow",1,1,1,Banned Pending Investigation,,missing,missing,,
We Are Not Your Equal: Understanding Our Racial Divide,"Anderson, Carol",1,1,1,Banned Pending Investigation,,missing,missing,,
We Are Okay,"LaCour, Nina",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
We Can't Be Friends: A True Story,"Etler, Cyndy Drew",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
We March,"Evans, Shane W.",1,1,1,Banned Pending Investigation,,missing,missing,,
We'll Always Have Summer,"Han, Jenny",1,1,1,Banned in Libraries,,missing,missing,,
What Goes Around,"Millner, Denene",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
What Riley Wore,"Arnold, Elana K.",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
What to Do When I'm Gone: A Mother's Wisdom to Her Daughter,"Hopkins, Suzy",1,1,1,Banned Pending Investigation,,missing,missing,,
What We Saw,"Hartzler, Aaron",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
When Wilma Rudolph Played Basketball,"Weakland, Mark",1,1,1,Banned Pending Investigation,,missing,missing,,
"Will Grayson, Will Grayson","Green, John",1,1,1,Banned Pending Investigation,,missing,missing,,
Willful Machines,"Floreen, Tim",1,1,1,Banned Pending Investigation,,missing,missing,,
Wintergirls,"Anderson, Laurie Halse",1,1,1,Banned Pending Investigation,,missing,missing,,
Wintersong,"Jae-Jones, S.",1,1,1,Banned in Libraries,,missing,missing,,
Witch and Wizard,"Patterson, James",1,1,1,Banned in Libraries,,missing,missing,,
Woke: A Young Poets Call to Justice,"Browne, Mahogany L.",1,1,1,Banned Pending Investigation,,missing,missing,,
Woman World,"Dhaliwal, Aminder",1,1,1,Banned Pending Investigation,,missing,missing,,
Women,"Leibovitz, Annie",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Wraith,"Hill, Joe",1,1,1,Banned Pending Investigation,,missing,missing,,
Writing and Illustrating the Graphic Novel: Everything You Need to Know to Create Great Graphic Works,"Chinn, Mike",1,1,1,Banned Pending Investigation,,missing,missing,,
Written in Bone: Buried Lives of Jamestown and Colonial Maryland,"Walker, Sally M.",1,1,1,Banned in Libraries,,missing,missing,,
X-Men: Age of X,"Carey, Mike",1,1,1,Banned Pending Investigation,,missing,missing,,
yolo,"Myracle, Lauren",1,1,1,Banned Pending Investigation,,missing,missing,,
You Killed Wesley Payne,"Beaudoin, Sean",1,1,1,Banned in Libraries,,missing,missing,,
Zombies Don't Cry,"Fischer, Rusty",1,1,1,Banned in Libraries,,missing,missing,,
